state,name,agency,type,notes
Delaware,Matt Bailey,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Chris Bennett,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Greg Breese,US Fish and Wildlife Service USFWS,federal,
Delaware,Matthew DiBona,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Anthony Gonzon,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Kitt Keckscher,Delaware State University,school,
Delaware,Rick McCorkle,US Fish and Wildlife Service USFWS,federal,
Delaware,Greg Shriver,University of Delaware,school,
Delaware,Jim White,Delaware Nature Society,ngo-nongame,
Delaware,Jean Woods,Delaware Museum of Natural History,ngo-nongame,
Delaware,Lee Anderson,University of Delaware,school,
Delaware,Johnny Moore,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Ian Park,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Mike Stangl,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Edna Stetzar,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Jeff Tinsman,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Don Wujtewicz,Delaware State University,school,
Delaware,Jordan Zimmerman,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Bill Langworthy,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Nate Nazdrowicz,University of Delaware,school,
Delaware,Holly Niederriter,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Charles Bartlett,University of Delaware,school,
Delaware,Sam Droege,US Geological Survey USGS,federal,
Delaware,Hal White,University of Delaware,school,
Delaware,Michael Bott,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Kitt Heckscher,Delaware State University,school,
Delaware,Michael Moore,University of Delaware,school,
Delaware,Mark Biddle,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Robert Coxe,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,William McAvoy,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Greg Moore,Delaware Department of Natural Resources and Environmental Control,state,
Delaware,Mike Valenti,Delaware Department of Agriculture,state,
Delaware,Chief Coker,Lenape Tribe,indigenous,
Florida,Dave Almquist,Florida Natural Areas Inventory,school,
Florida,Corey Anderson,Florida Fish and Wildlife Conservation Commission,state,
Florida,John Ascher,American Museum of Natural History,ngo-nongame,
Florida,Mark Asleson,Florida Fish and Wildlife Conservation Commission,state,
Florida,Ray Ball,ZooTampa,ngo-nongame,
Florida,Brian Barnett,Florida Fish and Wildlife Conservation Commission,state,
Florida,Laura Barrett,Florida Department of Environmental Protection,state,
Florida,Brian Beneke,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jennifer Bernatis,Florida Fish and Wildlife Conservation Commission,state,
Florida,Travis Blunden,Florida Fish and Wildlife Conservation Commission,state,
Florida,Chris Boland,Florida Fish and Wildlife Conservation Commission,state,
Florida,Robin Boughton,Florida Fish and Wildlife Conservation Commission,state,
Florida,Mick Branch,Florida Forestry Association,state,
Florida,Ralph Buckminster,,independent,
Florida,Deborah Burr,Florida Fish and Wildlife Conservation Commission,state,
Florida,Bob Butler,US Fish and Wildlife Service USFWS,federal,
Florida,Brian Camposano,Florida Forest Service,state,
Florida,Amy Clifton,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jimmy Connor,Florida Fish and Wildlife Conservation Commission,state,
Florida,David Cook,Florida Fish and Wildlife Conservation Commission,state,
Florida,Scott Cooney,Florida Fish and Wildlife Conservation Commission,state,
Florida,Andrew Cox,Florida Fish and Wildlife Conservation Commission,state,
Florida,Josh Cucinella,Florida Fish and Wildlife Conservation Commission,state,
Florida,Justin Davis,Florida Fish and Wildlife Conservation Commission,state,
Florida,Anna Deyle,Florida Fish and Wildlife Conservation Commission,state,
Florida,Peter Diamond,Florida Fish and Wildlife Conservation Commission,state,
Florida,Andrea Dominguez,Florida Fish and Wildlife Conservation Commission,state,
Florida,Terry Doonan,Florida Fish and Wildlife Conservation Commission,state,
Florida,Sam Droege,US Geological Survey USGS,federal,
Florida,Thomas Eason,Florida Fish and Wildlife Conservation Commission,state,
Florida,Kristen Eaton,Florida Power and Light Company,utility,
Florida,Dustin Everitt,Florida Fish and Wildlife Conservation Commission,state,
Florida,Craig Faulhaber,Florida Fish and Wildlife Conservation Commission,state,
Florida,Ann Forstchen,Florida Fish and Wildlife Conservation Commission,state,
Florida,Johanna Freeman,Florida Fish and Wildlife Conservation Commission,state,
Florida,Kipp Frohlich,Florida Fish and Wildlife Conservation Commission,state,
Florida,Sarah Funck,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jon Fury,Florida Fish and Wildlife Conservation Commission,state,
Florida,Terry Gibert,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jennifer Goff,Florida Fish and Wildlife Conservation Commission,state,
Florida,Luis Gonzalez,Florida Fish and Wildlife Conservation Commission,state,
Florida,Whitney Gray,Florida Department of Environmental Protection,state,
Florida,Tony Grossman,Florida Fish and Wildlife Conservation Commission,state,
Florida,Robin Grunwald,Florida Fish and Wildlife Conservation Commission,state,
Florida,Brad Gruver,Florida Fish and Wildlife Conservation Commission,state,
Florida,Alex Gulde,Florida Fish and Wildlife Conservation Commission,state,
Florida,Ryan Hamm,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jean-Marie Havrylkoff,Florida Fish and Wildlife Conservation Commission,state,
Florida,Blair Hayman,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jason Hight,Florida Fish and Wildlife Conservation Commission,state,
Florida,Pierson Hill,Florida Fish and Wildlife Conservation Commission,state,
Florida,Ted Hoehn,Florida Fish and Wildlife Conservation Commission,state,
Florida,Rodney Hudson,Florida Fish and Wildlife Conservation Commission,state,
Florida,BJ Jamison,Florida Fish and Wildlife Conservation Commission,state,
Florida,David Johnson,Florida Fish and Wildlife Conservation Commission,state,
Florida,John Jolley,,independent,
Florida,Alex Kalfin,Florida Fish and Wildlife Conservation Commission,state,
Florida,Arlo Kane,Florida Fish and Wildlife Conservation Commission,state,
Florida,Greg Kaufmann,Florida Fish and Wildlife Conservation Commission,state,
Florida,Sean Keenan,Florida Fish and Wildlife Conservation Commission,state,
Florida,Peter Kleinhenz,Florida Fish and Wildlife Conservation Commission,state,
Florida,Amy Knight,Florida Natural Areas Inventory,school,
Florida,Katie Konchar,Florida Fish and Wildlife Conservation Commission,state,
Florida,Taylor Kristian,Florida Southern College,school,
Florida,Patrick Kroboth,Florida Fish and Wildlife Conservation Commission,state,
Florida,Alex Kropp,Florida Fish and Wildlife Conservation Commission,state,
Florida,Paul Larson,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jerrie Lindsey,Florida Fish and Wildlife Conservation Commission,state,
Florida,Patrick McCord,Florida Fish and Wildlife Conservation Commission,state,
Florida,Erin McDevitt,Florida Fish and Wildlife Conservation Commission,state,
Florida,Maria Merrill,Florida Fish and Wildlife Conservation Commission,state,
Florida,Ron Mezich,Florida Fish and Wildlife Conservation Commission,state,
Florida,Barron Moody,Florida Fish and Wildlife Conservation Commission,state,
Florida,Ginger Morgan,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jennifer Myers,Florida Fish and Wildlife Conservation Commission,state,
Florida,Brie Ochoa,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jon Oeting,Florida Natural Areas Inventory,school,
Florida,Daniel Parker,Florida Fish and Wildlife Conservation Commission,state,
Florida,Chris Paxton,Florida Fish and Wildlife Conservation Commission,state,
Florida,Diana Pepe,Florida Fish and Wildlife Conservation Commission,state,
Florida,Bill Pouder,Florida Fish and Wildlife Conservation Commission,state,
Florida,Frank Price,Florida Natural Areas Inventory,school,
Florida,Amy Raker,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jennylyn Redner,Florida Fish and Wildlife Conservation Commission,state,
Florida,Morgan Richardson,Florida Fish and Wildlife Conservation Commission,state,
Florida,Carol Rizkalla,Florida Fish and Wildlife Conservation Commission,state,
Florida,Steve Rockwood,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jessica Rodriguez,Florida Fish and Wildlife Conservation Commission,state,
Florida,Adrienne Ruga,Florida Fish and Wildlife Conservation Commission,state,
Florida,Johnny Sabo,Florida Forest Service,state,
Florida,Angeline Scotten,Florida Fish and Wildlife Conservation Commission,state,
Florida,Mike Sisson,Florida Fish and Wildlife Conservation Commission,state,
Florida,Paul Skelley,Florida Department of Agriculture and Consumer Services,state,
Florida,Bonnie Stein,Florida Forest Service,state,
Florida,Beth Stys,Florida Fish and Wildlife Conservation Commission,state,
Florida,Dan Sullivan,Florida Fish and Wildlife Conservation Commission,state,
Florida,Clair Sunquist,Florida Fish and Wildlife Conservation Commission,state,
Florida,Elija Talamas,Florida Department of Agriculture and Consumer Services,state,
Florida,Brooke Talley,Florida Fish and Wildlife Conservation Commission,state,
Florida,Scotland Talley,Florida Fish and Wildlife Conservation Commission,state,
Florida,Alexandria Taylor,Florida Fish and Wildlife Conservation Commission,state,
Florida,Paul Thomas,Florida Fish and Wildlife Conservation Commission,state,
Florida,Tim Towles,Florida Fish and Wildlife Conservation Commission,state,
Florida,Mary Truglio,University of Florida,school,
Florida,Melissa Tucker,Florida Fish and Wildlife Conservation Commission,state,
Florida,Michelle Vandeventer,Florida Fish and Wildlife Conservation Commission,state,
Florida,Natasha Warraich,Florida Fish and Wildlife Conservation Commission,state,
Florida,Gary Warren,Florida Fish and Wildlife Conservation Commission,state,
Florida,Karen Watrous,,independent,
Florida,Fritz Wettstein,Florida Fish and Wildlife Conservation Commission,state,
Florida,Stasey Whichel,Florida Fish and Wildlife Conservation Commission,state,
Florida,Amber Whittle,Florida Fish and Wildlife Conservation Commission,state,
Florida,Jeffrey Wilcox,Florida Fish and Wildlife Conservation Commission,state,
Florida,Byron Williams,Florida Fish and Wildlife Conservation Commission,state,
Florida,Andy Wraithmell,Florida Fish and Wildlife Conservation Commission,state,
Florida,Ricardo Zambrano,Florida Fish and Wildlife Conservation Commission,state,
Florida,Andrea Alden,Florida Wildlife Legacy Initiative,state,
Florida,Ashley Ballou,Florida Wildlife Legacy Initiative,state,
Florida,Brian Branciforte,Florida Wildlife Legacy Initiative,state,
Florida,Caroline Gorga,Florida Wildlife Legacy Initiative,state,
Florida,Heather Hitt,Florida Wildlife Legacy Initiative,state,
Florida,Kevin Kemp,Florida Wildlife Legacy Initiative,state,
Florida,Thomas Kuhn,Florida Wildlife Legacy Initiative,state,
Florida,Allie McCue,Florida Wildlife Legacy Initiative,state,
Florida,Robyn McDole,Florida Wildlife Legacy Initiative,state,
Florida,Sandy Mickey,Florida Wildlife Legacy Initiative,state,
Florida,Dan O'Malley,Florida Wildlife Legacy Initiative,state,
Florida,Yasmin Serajifar,Florida Wildlife Legacy Initiative,state,
Florida,Lily Swanbrow Becker,Florida Wildlife Legacy Initiative,state,
Georgia,Todd Schneider,Georgia Department of Natural Resources GADNR,state,
Georgia,Tim Keyes,Georgia Department of Natural Resources GADNR,state,
Georgia,Jim Bates,US Fish and Wildlife Service USFWS,federal,
Georgia,Rebecca Byrd,Georgia Department of Transportation,state,
Georgia,Larry Carlile,US Department of Defense DOD,federal,
Georgia,Scott Coleman,Little St Simons Island,local,
Georgia,Chris Coppola,US Fish and Wildlife Service USFWS,federal,
Georgia,Jenifer Hilburn,"St Catherines Island Foundation, Altamaha Riverkeeper",ngo-nongame,
Georgia,Malcolm Hodges,The Nature Conservancy,ngo-nongame,
Georgia,Elizabeth Hunter,University of Georgia,school,
Georgia,Nathan Klaus,Georgia Department of Natural Resources GADNR,state,
Georgia,Charlie Muise,Atlanta Audubon Society,ngo-nongame,
Georgia,Jim Ozier,Georgia Department of Natural Resources GADNR,state,
Georgia,John Parrish,Georgia Southern University,school,
Georgia,Carrie Straight,US Fish and Wildlife Service USFWS,federal,
Georgia,Reggie Thackston,Georgia Department of Natural Resources GADNR,state,
Georgia,Jim Wentworth,US Forest Service USFS,federal,
Georgia,Troy Wilson,US Fish and Wildlife Service USFWS,federal,
Georgia,Giff Beaton,Consultant,independent,
Georgia,Richard Chandler,University of Georgia,school,
Georgia,Bob Cooper,University of Georgia,school,
Georgia,Bob Sargent,"Georgia Ornitological Society, Warner Robins Air Force Base",ngo-nongame,
Georgia,Terry Johnson,Georgia Department of Natural Resources GADNR,state,
Georgia,Jim Cox,Tall Timbers Research Station,ngo-nongame,
Georgia,Trina Morris,Georgia Department of Natural Resources GADNR,state,
Georgia,Cecilia Ball,Habitat for Bats,business,
Georgia,Robert Ball,Habitat for Bats,business,
Georgia,Jackie Belwood,Georgia Highland College,school,
Georgia,Michael Bender,Gordon State College,school,
Georgia,Brad Bergstrom,Valdosta State University,school,
Georgia,Bobby Bond,Georgia Department of Natural Resources GADNR,state,
Georgia,Chris Brookshire,Golder Associates,business,
Georgia,Dottie Brown,Ecological Solutions,business,
Georgia,Stephen Burnett,Clayton State University,school,
Georgia,Jim Candler,Georgia Power Company,utility,
Georgia,Steven Castleberry,University of Georgia,school,
Georgia,Nikki Castleberry,University of Georgia,school,
Georgia,Mike Chamberlain,University of Georgia,school,
Georgia,Doug Chamblin,Georgia Department of Transportation,state,
Georgia,Laci Coleman,Eco-Tech Consultants,business,
Georgia,Michael Conner,Joseph W Jones Ecological Reserch Center,ngo-nongame,
Georgia,Tara Cox,Savannah State University,school,
Georgia,Brian Davis,Georgia Department of Transportation,state,
Georgia,Ben Dickeron,Georgia Power Company,utility,
Georgia,Lee Droppelman,Eco-Tech Consultants,business,
Georgia,Mark Ford,Virginia Tech,school,
Georgia,Greg Hartman,Gordon State College,school,
Georgia,Dennis Krusac,US Forest Service USFS,federal,
Georgia,Susan Loeb,Clemson University,school,
Georgia,Alton Owens,Eco-Tech Consultants,business,
Georgia,William Paschal,LaGrange College,school,
Georgia,Pete Pattavina,US Fish and Wildlife Service USFWS,federal,
Georgia,Jimmy Rickard,US Fish and Wildlife Service USFWS,federal,
Georgia,Kim Romano,Ecological Solutions,business,
Georgia,Carol Ruckdeschel,Cumberland Island Museum,ngo-nongame,
Georgia,Jason Scott,Abraham Baldwin Agricultural College,school,
Georgia,Vicky Smith,A-Z Animals,business,
Georgia,Venessa Terrell,University of Georgia,school,
Georgia,Doug Waid,Abraham Baldwin Agricultural College,school,
Georgia,Greg Waters,Georgia Department of Natural Resources GADNR,state,
Georgia,Mark Yates,LaGrange College,school,
Georgia,John Jensen,Georgia Department of Natural Resources GADNR,state,
Georgia,Kimberly Andrews,Georgia Sea Turtle Center,state,
Georgia,Bill Birkhead,Columbus State University,school,
Georgia,Carlos Camp,Piedmont College,school,
Georgia,Mark Dodd,Georgia Department of Natural Resources GADNR,state,
Georgia,Matt Elliot,Georgia Department of Natural Resources GADNR,state,
Georgia,Zach Felix,Reinhardt College,school,
Georgia,Thomas Floyd,Georgia Department of Natural Resources GADNR,state,
Georgia,Greg Greer,Greg Greer Enterprises,business,
Georgia,Bob Herrington,Georgia Southwestern University,school,
Georgia,Robert Hill,Zoo Atlanta,ngo-nongame,
Georgia,Robert Horan,Georgia Department of Natural Resources GADNR,state,
Georgia,Jen Howze,Joseph W Jones Ecological Reserch Center,ngo-nongame,
Georgia,Chris Jenkins,The Orianne Society,ngo-nongame,
Georgia,Joyce Klaus,Georgia Department of Natural Resources GADNR,state,
Georgia,Brad Lock,Zoo Atlanta,ngo-nongame,
Georgia,John Macey,US Department of Defense DOD,federal,
Georgia,John Maerz,University of Georgia,school,
Georgia,Mark Mandica,Atlanta Botanical Garden,ngo-nongame,
Georgia,Katy McCurdy,US Fish and Wildlife Service USFWS,federal,
Georgia,Jessica McGuire,Georgia Department of Natural Resources GADNR,state,
Georgia,Joe Mendelson,Zoo Atlanta,ngo-nongame,
Georgia,Terry Norton,Georgia Sea Turtle Center,state,
Georgia,Dennis Parmley,Georgia College and State University,school,
Georgia,Todd Pierson,University of Georgia,school,
Georgia,Ashley Raybould,Georgia Department of Natural Resources GADNR,state,
Georgia,Ashley Rich-Robertson,Georgia Department of Transportation,state,
Georgia,Lora Smith,Joseph W Jones Ecological Reserch Center,ngo-nongame,
Georgia,Dirk Stevenson,The Orianne Society,ngo-nongame,
Georgia,Kevin Stohlgren,The Orianne Society,ngo-nongame,
Georgia,Brett Albanese,Georgia Department of Natural Resources GADNR,state,
Georgia,Andrew GaschoLandis,Georgia Department of Natural Resources GADNR,state,
Georgia,Jason Wisniewski,Georgia Department of Natural Resources GADNR,state,
Georgia,Sandy Abbott,US Fish and Wildlife Service USFWS,federal,
Georgia,David Bechler,Valdosta State University,school,
Georgia,Bill Birckhead,Columbus State University,school,
Georgia,Robert Bringolf,University of Georgia,school,
Georgia,Broughton Caldwell,Consultant,independent,
Georgia,Chris Crow,CCR Environmental Consulting,business,
Georgia,John Damer,Georgia Department of Natural Resources GADNR,state,
Georgia,Jonathan Davis,Young Harris College,school,
Georgia,Jerry Dinkins,Dinkins Biological Consulting,business,
Georgia,Will Duncan,US Fish and Wildlife Service USFWS,federal,
Georgia,Sara Duquette,Georgia Power Company,utility,
Georgia,Bill Ensign,Kennesaw State University,school,
Georgia,Jimmy Evans,Georgia Department of Natural Resources GADNR,state,
Georgia,Chester Figiel,Warm Springs Regional Fisheries Center,federal,
Georgia,Byron Freeman,Georgia Museum of Natural History,school,
Georgia,Mary Freeman,US Geological Survey USGS,federal,
Georgia,Mike Gangloff,Appalachian State University,school,
Georgia,Robin Goodloe,US Fish and Wildlife Service USFWS,federal,
Georgia,Megan Hagler,University of Georgia,school,
Georgia,Don Harrison,Georgia Department of Natural Resources GADNR,state,
Georgia,Matt Hill,Georgia Department of Natural Resources GADNR,state,
Georgia,Jordon Holcomb,Florida Fish and Wildlife Conservation Commission,state,
Georgia,Cecil Jennings,University of Georgia,school,
Georgia,Troy Keller,Columbus State University,school,
Georgia,Bernard Huhajda,Tennessee Aquarium,ngo-nongame,
Georgia,Paul Johnson,Alabama Aquatic Biodiversity Center,state,
Georgia,Patti Lanford,Georgia Department of Natural Resources GADNR,state,
Georgia,Alice Lawrence,US Fish and Wildlife Service USFWS,federal,
Georgia,Paula Marcinek,Georgia Department of Natural Resources GADNR,state,
Georgia,Bill McLarney,Land Trust for the Little Tennessee,ngo-nongame,
Georgia,Jason Meador,Land Trust for the Little Tennessee,ngo-nongame,
Georgia,Susan Rogers Oetiker,US Fish and Wildlife Service USFWS,federal,
Georgia,Katie Owens,The Nature Conservancy,ngo-nongame,
Georgia,Doug Peterson,University of Georgia,school,
Georgia,Sandy Pursifull,US Fish and Wildlife Service USFWS,federal,
Georgia,Pat Rakes,Conservation Fisheries,ngo-consumptive,
Georgia,Matthew Rowe,Florida Fish and Wildlife Conservation Commission,state,
Georgia,Christina Schmidt,Georgia Department of Transportation,state,
Georgia,Colin Shea,"Tennessee Tech University, North Carolina State University",school,
Georgia,Chris Skelton,Georgia College and State University,school,
Georgia,Jeffrey Simmons,Tennessee Valley Authority,utility,
Georgia,Joey Slaughter,Georgia Power Company,utility,
Georgia,George Stanton,Columbus State University,school,
Georgia,Camm Swift,Consultant,independent,
Georgia,David Werneke,Auburn University,school,
Georgia,Jim Williams,US Geological Survey USGS,federal,
Georgia,Sara Gottlieb,The Nature Conservancy,ngo-nongame,
Georgia,Greg Krakow,Georgia Department of Natural Resources GADNR,state,
Georgia,Jason Lee,Georgia Department of Natural Resources GADNR,state,
Georgia,Thom Litts,Georgia Department of Natural Resources GADNR,state,
Georgia,Catherine McCurdy,US Fish and Wildlife Service USFWS,federal,
Georgia,Scott Robinson,Georgia Department of Natural Resources GADNR,state,
Georgia,James Adams,Dalton State College,school,
Georgia,Dave Almquist,Florida Natural Areas Inventory,school,
Georgia,Doug Booher,"University of California at Los Angeles, University of Georgia",school,
Georgia,Debbie Harris,US Fish and Wildlife Service USFWS,federal,
Georgia,David Hedeen,Georgia Department of Transportation,state,
Georgia,JoVonn Hill,Mississippi State University,school,
Georgia,Pierre Howard,Georgia Conservancy,ngo-nongame,
Georgia,Jerry Payne,University of Georgia,school,
Georgia,David Withers,Tennessee Natural Heritage Inventory Program,state,
Georgia,Anna Yellin,Georgia Department of Natural Resources GADNR,state,
Georgia,Tom Patrick,Georgia Department of Natural Resources GADNR,state,
Georgia,Mincy Moffett,Georgia Department of Natural Resources GADNR,state,
Georgia,Marshall Adams,Consultant,independent,
Georgia,Heather Alley,State Botanical Garden of Georgia,school,
Georgia,Joanne Baggs,Chattahoochee/Oconee National Forest,federal,
Georgia,Wilson Baker,Consultant,independent,
Georgia,Mark Ballard,Consultant,independent,
Georgia,Steve Bowling,Atlanta Botanical Garden,state,
Georgia,Forbes Boyle,Okefenokee Natural Wildlife Refuge,federal,
Georgia,Jamie Collazo,Georgia Department of Transportation,state,
Georgia,Richard Carter,Valdosta State University,school,
Georgia,Jenifer Ceska,"Georgia Plant Conservation Alliance, State Botanical Garden of Georgia",state,
Georgia,Linda Chafin,State Botanical Garden of Georgia,school,
Georgia,Alan Cressler,US Geological Survey USGS,federal,
Georgia,Ron Determann,Atlanta Botanical Garden,state,
Georgia,Paul Davison,North Alabama University,school,
Georgia,Jim Drake,Georgia Botanical Society,ngo-nongame,
Georgia,Lee Echols,North American Land Trust,ngo-nongame,
Georgia,Debbie Folkerts,Auburn University,school,
Georgia,Chick Gaddy,Consultant,independent,
Georgia,Tom Govus,Consultant,independent,
Georgia,Lisa Kruse,Georgia Department of Natural Resources GADNR,state,
Georgia,Ron Lance,North American Land Trust,ngo-nongame,
Georgia,Eamonn Leonard,Georgia Department of Natural Resources GADNR,state,
Georgia,Patrich Lynch,Joseph W Jones Ecological Reserch Center,ngo-nongame,
Georgia,Bob McCartney,Consultant,independent,
Georgia,Ed McDowell,Consultant,independent,
Georgia,Max Medley,Consultant,independent,
Georgia,Rich Reaves,Consultant,independent,
Georgia,Matt Richards,Atlanta Botanical Garden,state,
Georgia,Frankie Snow,South Georgia College,school,
Georgia,Bruce Sorrie,North Carolina Heritage Program,state,
Georgia,Matthew Stoddard,Georgia Department of Natural Resources GADNR,state,
Georgia,Nate Thomas,Georgia Department of Natural Resources GADNR,state,
Georgia,Jacob Thompson,Georgia Department of Natural Resources GADNR,state,
Georgia,Richard Ware,Georgia Botanical Society,ngo-nongame,
Georgia,Wendy Zomlefer,University of Georgia,school,
Georgia,Shan Cammack,Georgia Department of Natural Resources GADNR,state,
Georgia,Tim Beaty,US Department of Defense DOD,federal,
Georgia,Erick Brown,The Nature Conservancy,ngo-nongame,
Georgia,Sim Davidson,Georgia Department of Natural Resources GADNR,state,
Georgia,John Doresky,US Fish and Wildlife Service USFWS,federal,
Georgia,Neal Edmonson,Georgia Forestry Commission,state,
Georgia,Chris Goodson,Georgia Department of Transportation,state,
Georgia,Scott Griffin,Georgia Forestry Commission,state,
Georgia,Rob Hicks,Plum Creek,business,
Georgia,Sharon Holbrooks,Natural Resources Conservation Service NRCS,federal,
Georgia,Gail Martinez,US Fish and Wildlife Service USFWS,federal,
Georgia,Joe McGlincy,Consultant,independent,
Georgia,Matt Payne,Georgia Department of Natural Resources GADNR,state,
Georgia,Karan Rawlins,University of Georgia,school,
Georgia,Carl Schmidt,US Fish and Wildlife Service USFWS,federal,
Georgia,Karen Sughrue,US Fish and Wildlife Service USFWS,federal,
Georgia,Randy Tate,Longleaf Alliance,ngo-nongame,
Georgia,Sane Wellendorf,Tall Timbers Research Station,ngo-nongame,
Georgia,Mike Byrne,US Park Service,federal,
Georgia,Jim Hanula,US Forest Service USFS,federal,
Georgia,Steve Holzman,US Fish and Wildlife Service USFWS,federal,
Georgia,Dorset Hurley,Sapelo Island National Estuarine Research Reserve,federal,
Georgia,Brian Irwin,US Geological Survey USGS,federal,
Georgia,Michael Juhan,Fort Gordon Army Base,federal,
Georgia,Kay Kirkman,Joseph W Jones Ecological Reserch Center,ngo-nongame,
Georgia,George Matusick,The Nature Conservancy,ngo-nongame,
Georgia,Clint Moore,US Geological Survey USGS,federal,
Georgia,Katrina Morris,Georgia Department of Natural Resources GADNR,state,
Georgia,Rebecca Pudner,Auburn University,school,
Georgia,James Tomberlin,Georgia Department of Natural Resources GADNR,state,
Georgia,Susan Walls,US Geological Survey USGS,federal,
Georgia,Analie Barnett,The Nature Conservancy,ngo-nongame,
Georgia,Laurel Barnhill,US Fish and Wildlife Service USFWS,federal,
Georgia,Alison McGee,The Nature Conservancy,ngo-nongame,
Georgia,Joe O'Brien,US Forest Service USFS,federal,
Georgia,Rob Sutter,Enduring Conservation Outcomes,business,
Georgia,Jennifer Welte,Georgia Department of Natural Resources GADNR,state,
Georgia,Linda May,Georgia Department of Natural Resources GADNR,state,
Georgia,Kim Bailey,Georgia Department of Natural Resources GADNR,state,
Georgia,Melanie Biersmith,Georgia 4H,ngo-consumptive,
Georgia,Berkeley Boone,Georgia Department of Natural Resources GADNR,state,
Georgia,Amanda Buice,Georgia Department of Education,state,
Georgia,Casey Corbett,Georgia Southern University,school,
Georgia,Rusty Garrison,Georgia Department of Natural Resources GADNR,state,
Georgia,Caleb Griner,Georgia Department of Natural Resources GADNR,state,
Georgia,Deborah Harris,US Fish and Wildlife Service USFWS,federal,
Georgia,Kris Irwin,University of Georgia,school,
Georgia,Jeff Jackson,Georgia Department of Transportation,state,
Georgia,Tamara Johnson,US Fish and Wildlife Service USFWS,federal,
Georgia,Melissa Martin,Flint Riverquarium,ngo-nongame,
Georgia,Paul Medders,Georgia Department of Natural Resources GADNR,state,
Georgia,Joseph Mendelson,Zoo Atlanta,ngo-nongame,
Georgia,Kim Morris-Zarneke,Georgia Aquarium,ngo-nongame,
Georgia,Robert Phillips,Georgia Wildlife Federation,ngo-consumptive,
Georgia,Carla Rapp,Georgia Forestry Association,ngo-consumptive,
Georgia,Cindy Reittinger,Georgia Department of Natural Resources GADNR,state,
Georgia,Anne Shenk,State Botanical Garden of Georgia,school,
Georgia,Lisa Weinstein,Turner Foundation,ngo-nongame,
Georgia,Karan Wood,Captain Planet Foundation,ngo-nongame,
Georgia,Rick Lavender,Georgia Department of Natural Resources GADNR,state,
Georgia,David Allen,Georgia Department of Natural Resources GADNR,state,
Georgia,Carey Adams,Georgia Power Company,utility,
Georgia,Wendy Burnett,Georgia Forestry Commission,state,
Georgia,Sherry Crawley,The Nature Conservancy,ngo-nongame,
Georgia,Eric Darracq,Georgia Department of Natural Resources GADNR,state,
Georgia,Brian Foster,Georgia Conservancy,ngo-nongame,
Georgia,Susan Gibson,US Department of Defense DOD,federal,
Georgia,Chris Groskreutz,Natural Resources Conservation Service NRCS,federal,
Georgia,Kim Hatcher,Georgia Department of Natural Resources GADNR,state,
Georgia,Matt Hestad,Georgia Forestry Association,ngo-consumptive,
Georgia,Sharilyn Meyers,Georgia Department of Transportation,state,
Georgia,Ron Morton,Natural Resources Conservation Service NRCS,federal,
Georgia,Rob Pavey,Augusta Chronicle,business,
Georgia,Stacey Shelton,US Fish and Wildlife Service USFWS,federal,
Georgia,Sandra Spivey,US Fish and Wildlife Service USFWS,federal,
Georgia,Judy Toppins,US Forest Service USFS,federal,
Georgia,Marshall Williams,US Department of Defense DOD,federal,
Georgia,Joanne Baggs,US Forest Service USFS,federal,
Georgia,Chuck Bargeron,University of Georgia,school,
Georgia,Brad Dethero,Geo-Source,business,
Georgia,Sonny Emmert,Georgia Department of Natural Resources GADNR,state,
Georgia,Alex Jaume,US Forest Service USFS,federal,
Georgia,KC Love,Edwards-Pitman,business,
Georgia,Eric McRae,University of Georgia,school,
Georgia,Ani Popp,Georgia Department of Natural Resources GADNR,state,
Georgia,Becky Pudner,Georgia Department of Natural Resources GADNR,state,
Georgia,Melanie Riley,Georgia Department of Natural Resources GADNR,state,
Georgia,Cristin Walters,University of Georgia,school,
Georgia,Deb Weiler,Georgia Department of Natural Resources GADNR,school,
Georgia,David Whitehouse,International Paper,business,
Georgia,Chris Canalos,Georgia Department of Natural Resources GADNR,state,
